date,time,event_type,payload
"2026-04-06","2026/4/6 10:49:14","app.launched","{}"
"2026-04-06","2026/4/6 10:49:42","auth.login","{}"
"2026-04-06","2026/4/6 10:49:50","nav.date_changed","{""to"":""2026-04-05"",""from"":""2026-04-06"",""method"":""arrow""}"
"2026-04-06","2026/4/6 10:49:52","nav.date_changed","{""to"":""2026-04-06"",""from"":""2026-04-05"",""method"":""arrow""}"
"2026-04-06","2026/4/6 10:50:35","settings.saved","{""settingType"":""profile""}"
"2026-04-06","2026/4/6 10:50:46","mode.widget_entered","{}"
"2026-04-06","2026/4/6 10:50:48","mode.widget_expanded","{}"
"2026-04-06","2026/4/6 10:51:01","app.quit","{}"
"2026-04-06","2026/4/6 15:08:27","app.launched","{}"
"2026-04-06","2026/4/6 15:09:07","task.created","{""title"":""跑通CMMD"",""source"":""editor"",""taskId"":""t-1775459347524-orx1""}"
"2026-04-06","2026/4/6 15:09:07","nav.date_changed","{""to"":""2026-04-05"",""from"":""2026-04-06"",""method"":""arrow""}"
"2026-04-06","2026/4/6 15:09:09","nav.date_changed","{""to"":""2026-04-06"",""from"":""2026-04-05"",""method"":""arrow""}"
"2026-04-06","2026/4/6 15:09:29","task.created","{""title"":""生成新数据集"",""source"":""editor"",""taskId"":""t-1775459369761-niiz""}"
"2026-04-06","2026/4/6 15:11:44","task.edited","{""field"":""title"",""taskId"":""t-1775459369761-niiz""}"
"2026-04-06","2026/4/6 15:12:16","task.edited","{""field"":""title"",""taskId"":""t-1775459347524-orx1""}"
"2026-04-06","2026/4/6 15:12:18","task.deleted","{""taskId"":""t-1775459369761-niiz""}"
"2026-04-06","2026/4/6 15:12:32","task.subtask_created","{""taskId"":""t-1775459347524-orx1"",""subtaskTitle"":""跑通CMMD""}"
"2026-04-06","2026/4/6 15:12:47","task.subtask_created","{""taskId"":""t-1775459347524-orx1"",""subtaskTitle"":""生成硬过滤数据集""}"
"2026-04-06","2026/4/6 15:12:55","task.subtask_created","{""taskId"":""t-1775459347524-orx1"",""subtaskTitle"":""生成软过滤数据集""}"
"2026-04-06","2026/4/6 15:12:58","plan.focus_selected","{""taskId"":""t-1775459347524-orx1"",""taskTitle"":""课题""}"
"2026-04-06","2026/4/6 15:12:58","mode.widget_entered","{}"
"2026-04-06","2026/4/6 15:12:58","plan.brain_dump","{""tasks"":[{""id"":""t-1775459347524-orx1"",""title"":""课题""}],""taskCount"":1}"
"2026-04-06","2026/4/6 15:13:05","plan.brain_dump","{""tasks"":[{""id"":""t-1775459347524-orx1"",""title"":""课题""}],""taskCount"":1}"
"2026-04-06","2026/4/6 15:13:05","exec.micro_started","{""taskId"":""t-1775459347524-orx1"",""sessionId"":""s-1775459585803-l5rx"",""taskTitle"":""课题"",""microAction"":""开始做「跑通CMMD」""}"
"2026-04-06","2026/4/6 15:13:05","session.started","{""taskId"":""t-1775459347524-orx1"",""sessionId"":""s-1775459585803-l5rx"",""taskTitle"":""课题""}"
"2026-04-06","2026/4/6 15:13:05","plan.first_micro","{""source"":""skip"",""taskId"":""t-1775459347524-orx1"",""taskTitle"":""课题"",""microAction"":""开始做「跑通CMMD」""}"
"2026-04-06","2026/4/6 15:13:05","plan.focus_selected","{""taskId"":""t-1775459347524-orx1"",""taskTitle"":""课题""}"
"2026-04-06","2026/4/6 15:13:18","exec.micro_completed","{""taskId"":""t-1775459347524-orx1"",""sessionId"":""s-1775459585803-l5rx"",""taskTitle"":""课题"",""microAction"":""开始做「跑通CMMD」"",""actualSeconds"":12}"
"2026-04-06","2026/4/6 15:31:21","task.subtask_toggled","{""taskId"":""t-1775459347524-orx1"",""completed"":true,""subtaskId"":""s-1775459552936-md1y"",""subtaskTitle"":""跑通CMMD""}"
"2026-04-06","2026/4/6 15:49:34","task.subtask_toggled","{""taskId"":""t-1775459347524-orx1"",""completed"":true,""subtaskId"":""s-1775459575418-4ihk"",""subtaskTitle"":""生成软过滤数据集""}"
"2026-04-06","2026/4/6 15:49:35","task.subtask_toggled","{""taskId"":""t-1775459347524-orx1"",""completed"":false,""subtaskId"":""s-1775459575418-4ihk"",""subtaskTitle"":""生成软过滤数据集""}"
"2026-04-06","2026/4/6 15:49:43","session.paused","{""taskId"":""t-1775459347524-orx1"",""sessionId"":""s-1775459585803-l5rx"",""taskTitle"":""课题"",""microAction"":""课题"",""elapsedSeconds"":2197,""completedMicroSteps"":1}"
"2026-04-06","2026/4/6 15:50:32","plan.brain_dump","{""tasks"":[{""id"":""t-1775459347524-orx1"",""title"":""课题""},{""id"":""t-1775461806979-toaw"",""title"":""生物学导论论文""}],""taskCount"":2}"
"2026-04-06","2026/4/6 15:50:32","session.started","{""taskId"":""t-1775461806979-toaw"",""sessionId"":""s-1775461832099-anyu"",""taskTitle"":""生物学导论论文""}"
"2026-04-06","2026/4/6 15:50:32","exec.micro_started","{""taskId"":""t-1775461806979-toaw"",""sessionId"":""s-1775461832099-anyu"",""taskTitle"":""生物学导论论文"",""microAction"":""打开初稿文档""}"
"2026-04-06","2026/4/6 15:50:32","plan.first_micro","{""source"":""self"",""taskId"":""t-1775461806979-toaw"",""taskTitle"":""生物学导论论文"",""microAction"":""打开初稿文档""}"
"2026-04-06","2026/4/6 15:50:32","plan.focus_selected","{""taskId"":""t-1775461806979-toaw"",""taskTitle"":""生物学导论论文""}"
